OEM,Brand,Model family,Model,Vehicle classification,SKU,Type,Trim,Number of electric drive motors,ADAS,L2+ Capable,Digital cockpit OS,Australia,India,South East Asia,Japan,Rest of Asia Pacific,South Korea,People's Republic of China (mainland),Rest of Greater China,Rest of Central & Eastern Europe,Rest of Middle East,France,Germany,UK,Rest of Latin America,Canada,United States
Geely,Lynk & Co,"01, 05",01,SUV/Crossover,01 ICE Top 0,ICE,Top 0,Not applicable,L2,No,LynkOS,0.1532846715328467,0.1576354679802955,0.1608832807570978,0.1492537313432836,0.1442006269592477,0.1313131313131313,0.1532846715328467,0.1576354679802955,,0.1492537313432836,,0.1313131313131313,0.1532846715328467,0.1576354679802955,0.1608832807570978,0.1492537313432836
Geely,Lynk & Co,"01, 05",01,SUV/Crossover,01 ICE Top 0,ICE,Top 0,Not applicable,L2,No,LynkOS,0.1313868613138686,0.1428571428571428,0.1514195583596215,0.1268656716417911,0.1347962382445141,0.1161616161616162,0.1313868613138686,0.1428571428571428,,0.1268656716417911,,0.1161616161616162,0.1313868613138686,0.1428571428571428,0.1514195583596215,0.1268656716417911
Geely,Lynk & Co,"01, 05",01 EM-F,SUV/Crossover,01 EM-F ICE Top 0,ICE,Top 0,Not applicable,L2,No,LynkOS,0.1824817518248175,0.1773399014778325,0.1735015772870662,0.1791044776119403,0.1567398119122257,0.1515151515151515,0.1824817518248175,0.1773399014778325,,0.1791044776119403,,0.1515151515151515,0.1824817518248175,0.1773399014778325,0.1735015772870662,0.1791044776119403
Geely,Lynk & Co,"01, 05",01 EM-F,SUV/Crossover,01 EM-F ICE Top 0,ICE,Top 0,Not applicable,L2,No,LynkOS,0.1532846715328467,0.1576354679802955,0.1608832807570978,0.1492537313432836,0.1442006269592477,0.1313131313131313,0.1532846715328467,0.1576354679802955,,0.1492537313432836,,0.1313131313131313,0.1532846715328467,0.1576354679802955,0.1608832807570978,0.1492537313432836
Geely,Lynk & Co,"01, 05",01 EM-F,SUV/Crossover,01 EM-F ICE Top 0,ICE,Top 0,Not applicable,L2,No,LynkOS,0.1313868613138686,0.1428571428571428,0.1514195583596215,0.1268656716417911,0.1347962382445141,0.1161616161616162,0.1313868613138686,0.1428571428571428,,0.1268656716417911,,0.1161616161616162,0.1313868613138686,0.1428571428571428,0.1514195583596215,0.1268656716417911
Geely,Lynk & Co,"01, 05",05,SUV/Crossover,05 ICE Top 0,ICE,Top 0,Not applicable,L2,No,LynkOS,0.1824817518248175,0.1773399014778325,0.1735015772870662,0.1791044776119403,0.1567398119122257,0.1515151515151515,0.1824817518248175,0.1773399014778325,,0.1791044776119403,,0.1515151515151515,0.1824817518248175,0.1773399014778325,0.1735015772870662,0.1791044776119403
Geely,Lynk & Co,"01, 05",05,SUV/Crossover,05 ICE Top 0,ICE,Top 0,Not applicable,L2,No,LynkOS,0.1532846715328467,0.1576354679802955,0.1608832807570978,0.1492537313432836,0.1442006269592477,0.1313131313131313,0.1532846715328467,0.1576354679802955,,0.1492537313432836,,0.1313131313131313,0.1532846715328467,0.1576354679802955,0.1608832807570978,0.1492537313432836
Geely,Lynk & Co,"01, 05",05,SUV/Crossover,05 ICE Top 0,ICE,Top 0,Not applicable,L2,No,LynkOS,0.1313868613138686,0.1428571428571428,0.1514195583596215,0.1268656716417911,0.1347962382445141,0.1161616161616162,0.1313868613138686,0.1428571428571428,,0.1268656716417911,,0.1161616161616162,0.1313868613138686,0.1428571428571428,0.1514195583596215,0.1268656716417911
Geely,Lynk & Co,"01, 05",01 EM-P,SUV/Crossover,01 EM-P PHEV Mid 0,PHEV,Mid 0,1,L2,No,LynkOS,0.02985074626865672,0.02,0.01273885350318471,0.0746268656716418,0.1954022988505747,0.2920353982300885,0.02985074626865672,0.02,,0.0746268656716418,,0.2920353982300885,0.02985074626865672,0.02,0.01273885350318471,0.0746268656716418
Geely,Lynk & Co,"01, 05",01 EM-P,SUV/Crossover,01 EM-P PHEV Mid 1,PHEV,Mid 1,1,L2,No,LynkOS,0.2686567164179104,0.29,0.3057324840764331,0.2537313432835821,0.2471264367816092,0.2035398230088496,0.2686567164179104,0.29,,0.2537313432835821,,0.2035398230088496,0.2686567164179104,0.29,0.3057324840764331,0.2537313432835821
Geely,Lynk & Co,"01, 05",01 PHEV (Global),SUV/Crossover,01 PHEV (Global) PHEV Top 1,PHEV,Top 1,1,L2,No,Not recorded,0.3880597014925374,0.37,0.356687898089172,0.373134328358209,0.2931034482758621,0.2743362831858407,0.3880597014925374,0.37,,0.373134328358209,,0.2743362831858407,0.3880597014925374,0.37,0.356687898089172,0.373134328358209
Geely,Lynk & Co,"01, 05",05+,SUV/Crossover,05+ ICE Top 1,ICE,Top 1,Not applicable,L2,No,LynkOS,0.0145985401459854,0.00985221674876847,0.006309148264984227,0.0373134328358209,0.1065830721003135,0.1666666666666667,0.0145985401459854,0.00985221674876847,,0.0373134328358209,,0.1666666666666667,0.0145985401459854,0.00985221674876847,0.006309148264984227,0.0373134328358209
Geely,Lynk & Co,"01, 05",05 EM-P,SUV/Crossover,05 EM-P PHEV Top 0,PHEV,Top 0,1,L2,No,LynkOS,0.3134328358208955,0.32,0.3248407643312102,0.2985074626865672,0.264367816091954,0.2300884955752213,0.3134328358208955,0.32,,0.2985074626865672,,0.2300884955752213,0.3134328358208955,0.32,0.3248407643312102,0.2985074626865672
