,level_0,level_1,level_2,level_3,Model Family,BEV,ICE,PHEV
50,Geely,Lynk & co SUV/Crossover,SUV/Crossover,02,France,0.32000000000000006,0.21,0
51,Geely,Lynk & co SUV/Crossover,SUV/Crossover,02,Germany,0,0.19999999999999998,0.26000000000000006
52,Geely,Lynk & co SUV/Crossover,SUV/Crossover,02,India,0.46,0.19999999999999998,0.26000000000000006
53,Geely,Lynk & co SUV/Crossover,SUV/Crossover,02,Japan,0,0.19999999999999998,0.26000000000000006
54,Geely,Lynk & co SUV/Crossover,SUV/Crossover,02,People's Republic of China (mainland),0.32000000000000006,0.21,0
55,Geely,Lynk & co SUV/Crossover,SUV/Crossover,02,Rest of Asia Pacific,0.32000000000000006,0.21,0.51
56,Geely,Lynk & co SUV/Crossover,SUV/Crossover,02,Rest of Central & Eastern Europe,0.32000000000000006,0.21,0.51
57,Geely,Lynk & co SUV/Crossover,SUV/Crossover,02,Rest of Greater China,0,0.19999999999999998,0.26000000000000006
58,Geely,Lynk & co SUV/Crossover,SUV/Crossover,02,Rest of Latin America,0.46,0.19999999999999998,0.26000000000000006
59,Geely,Lynk & co SUV/Crossover,SUV/Crossover,02,Rest of Middle East,0.46,0.19999999999999998,0.26000000000000006
60,Geely,Lynk & co SUV/Crossover,SUV/Crossover,02,South Korea,0.46,0.19999999999999998,0.26000000000000006
61,Geely,Lynk & co SUV/Crossover,SUV/Crossover,02,Southeast Asia,0.32000000000000006,0.21,0
62,Geely,Lynk & co SUV/Crossover,SUV/Crossover,02,UK,0.32000000000000006,0.21,0.51
63,Geely,Lynk & co SUV/Crossover,SUV/Crossover,02,United States,0,0.19999999999999998,0.26000000000000006
64,Geely,Lynk & co SUV/Crossover,SUV/Crossover,Model family 5,Australia,0.37000000000000005,0.26,0.56
65,Geely,Lynk & co SUV/Crossover,SUV/Crossover,Model family 5,Canada,0.37000000000000005,0.26,0
66,Geely,Lynk & co SUV/Crossover,SUV/Crossover,Model family 5,France,0.37000000000000005,0.26,0
67,Geely,Lynk & co SUV/Crossover,SUV/Crossover,Model family 5,Germany,0,0.25,0.31000000000000005
68,Geely,Lynk & co SUV/Crossover,SUV/Crossover,Model family 5,India,0.51,0.25,0.31000000000000005
69,Geely,Lynk & co SUV/Crossover,SUV/Crossover,Model family 5,Japan,0,0.25,0.31000000000000005
70,Geely,Lynk & co SUV/Crossover,SUV/Crossover,Model family 5,People's Republic of China (mainland),0.37000000000000005,0.26,0
71,Geely,Lynk & co SUV/Crossover,SUV/Crossover,Model family 5,Rest of Asia Pacific,0.37000000000000005,0.26,0.56
72,Geely,Lynk & co SUV/Crossover,SUV/Crossover,Model family 5,Rest of Central & Eastern Europe,0.37000000000000005,0.26,0.56
73,Geely,Lynk & co SUV/Crossover,SUV/Crossover,Model family 5,Rest of Greater China,0,0.25,0.31000000000000005
74,Geely,Lynk & co SUV/Crossover,SUV/Crossover,Model family 5,Rest of Latin America,0.51,0.25,0.31000000000000005
75,Geely,Lynk & co SUV/Crossover,SUV/Crossover,Model family 5,Rest of Middle East,0.51,0.25,0.31000000000000005
76,Geely,Lynk & co SUV/Crossover,SUV/Crossover,Model family 5,South Korea,0.51,0.25,0.31000000000000005
77,Geely,Lynk & co SUV/Crossover,SUV/Crossover,Model family 5,Southeast Asia,0.37000000000000005,0.26,0
78,Geely,Lynk & co SUV/Crossover,SUV/Crossover,Model family 5,UK,0.37000000000000005,0.26,0.56
79,Geely,Lynk & co SUV/Crossover,SUV/Crossover,Model family 5,United States,0,0.25,0.31000000000000005
80,Geely,Lynk & co SUV/Crossover,SUV/Crossover,Model family 6,Australia,0.29000000000000004,0.18,0.48000000000000004
81,Geely,Lynk & co SUV/Crossover,SUV/Crossover,Model family 6,Canada,0.29000000000000004,0.18,0
82,Geely,Lynk & co SUV/Crossover,SUV/Crossover,Model family 6,France,0.29000000000000004,0.18,0
83,Geely,Lynk & co SUV/Crossover,SUV/Crossover,Model family 6,Germany,0,0.16999999999999998,0.23000000000000004
84,Geely,Lynk & co SUV/Crossover,SUV/Crossover,Model family 6,India,0.43000000000000005,0.16999999999999998,0.23000000000000004
85,Geely,Lynk & co SUV/Crossover,SUV/Crossover,Model family 6,Japan,0,0.16999999999999998,0.23000000000000004
86,Geely,Lynk & co SUV/Crossover,SUV/Crossover,Model family 6,People's Republic of China (mainland),0.29000000000000004,0.18,0
87,Geely,Lynk & co SUV/Crossover,SUV/Crossover,Model family 6,Rest of Asia Pacific,0.29000000000000004,0.18,0.48000000000000004
88,Geely,Lynk & co SUV/Crossover,SUV/Crossover,Model family 6,Rest of Central & Eastern Europe,0.29000000000000004,0.18,0.48000000000000004
89,Geely,Lynk & co SUV/Crossover,SUV/Crossover,Model family 6,Rest of Greater China,0,0.16999999999999998,0.23000000000000004
90,Geely,Lynk & co SUV/Crossover,SUV/Crossover,Model family 6,Rest of Latin America,0.43000000000000005,0.16999999999999998,0.23000000000000004
91,Geely,Lynk & co SUV/Crossover,SUV/Crossover,Model family 6,Rest of Middle East,0.43000000000000005,0.16999999999999998,0.23000000000000004
92,Geely,Lynk & co SUV/Crossover,SUV/Crossover,Model family 6,South Korea,0.43000000000000005,0.16999999999999998,0.23000000000000004
93,Geely,Lynk & co SUV/Crossover,SUV/Crossover,Model family 6,Southeast Asia,0.29000000000000004,0.18,0
94,Geely,Lynk & co SUV/Crossover,SUV/Crossover,Model family 6,UK,0.29000000000000004,0.18,0.48000000000000004
95,Geely,Lynk & co SUV/Crossover,SUV/Crossover,Model family 6,United States,0,0.16999999999999998,0.23000000000000004
96,Geely,Lynk & co SUV/Crossover,SUV/Crossover,Model family 7,Australia,0.02,0.02,0.02
97,Geely,Lynk & co SUV/Crossover,SUV/Crossover,Model family 7,Canada,0.02,0.02,0
98,Geely,Lynk & co SUV/Crossover,SUV/Crossover,Model family 7,France,0.02,0.02,0
